keys,en,de
tf885328afb,"Hi, I'm Nathan and this is Coco.","Hallo, ich bin Nathan und das ist Coco."
t4c11347656,Meow.,Miau.
tba678dd331,Here are some response options.,Hier sind einige Optionen.
tec2831274f,First one,Erster
ted9b57f70f,You picked the first one.,Sie haben sich für die erste entschieden.
te9670331c2,Second one,Zweiter
t14bc171a9f,You picked the second one.,Sie haben sich für das Zweite entschieden.
ta04a1307f6,Start again,Fang nochmal an
t3211e3adf8,End the conversation,Beenden Sie das Gespräch
t643e01443b,I hope this example is helpful.,"Ich hoffe, das ist hilfreich."
tb75d1c7a40,Meow.,Miau.
